Employee_ID,Age,Gender,Department,Job_Role,Experience_Years,Education_Level,Location,Performance_Rating,Salary,Bonus,Joining_Date,Salary_Band,Experience_Group,Age_Group
1,50,Male,Marketing,Lead,11,Masters,Delhi,3,59321.0,5214,2019-06-08,Low,Senior (11-20),Boomers II (46-55)
2,36,Female,Sales,Executive,25,Masters,Hyderabad,5,90953.0,12017,2012-09-27,High,Executive (21+),Gen X (36-45)
3,29,Male,Sales,Manager,12,PhD,Hyderabad,4,59935.0,3394,2014-12-06,Low,Senior (11-20),Millennials (25-35)
4,42,Female,Engineering,Developer,0,Masters,Delhi,5,61560.0,10780,2013-03-29,Low,Entry (0-2),Gen X (36-45)
5,40,Female,Finance,Lead,6,PhD,Mumbai,4,66656.0,8991,2016-10-08,Medium,Mid (6-10),Gen X (36-45)
6,44,Female,Engineering,Analyst,15,Bachelors,Delhi,2,93614.0,13832,2012-10-31,High,Senior (11-20),Gen X (36-45)
7,32,Male,Finance,Developer,15,PhD,Delhi,3,80760.0,6472,2015-12-04,Medium,Senior (11-20),Millennials (25-35)
8,32,Male,Marketing,Lead,20,Masters,Bangalore,1,73345.0,9807,2012-01-11,Medium,Senior (11-20),Millennials (25-35)
9,45,Male,Engineering,Developer,15,PhD,Delhi,3,86181.0,11168,2019-02-28,High,Senior (11-20),Gen X (36-45)
10,57,Male,Engineering,Executive,15,Masters,Bangalore,4,86690.0,12391,2018-06-07,High,Senior (11-20),Boomers I (55+)
11,45,Female,HR,Analyst,13,PhD,Delhi,3,55795.0,9882,2019-03-09,Low,Senior (11-20),Gen X (36-45)
12,24,Female,Engineering,Analyst,10,PhD,Hyderabad,1,78504.0,12928,2017-09-25,Medium,Mid (6-10),Gen Z (<25)
13,43,Male,HR,Manager,18,Bachelors,Hyderabad,2,65208.0,8609,2022-08-15,Medium,Senior (11-20),Gen X (36-45)
14,23,Male,Finance,Executive,10,PhD,Mumbai,2,74132.0,13641,2019-06-23,Medium,Mid (6-10),Gen Z (<25)
15,45,Male,Finance,Manager,1,Bachelors,Delhi,4,48780.0,5061,2017-05-23,Low,Entry (0-2),Gen X (36-45)
16,51,Female,Finance,Manager,6,Bachelors,Chennai,3,64779.0,8024,2016-10-09,Medium,Mid (6-10),Boomers II (46-55)
17,59,Male,HR,Executive,8,PhD,Delhi,4,44509.0,6561,2013-10-26,Low,Mid (6-10),Boomers I (55+)
18,23,Male,Finance,Lead,8,PhD,Chennai,3,61017.0,7084,2014-01-28,Low,Mid (6-10),Gen Z (<25)
19,42,Female,Sales,Manager,13,PhD,Delhi,5,61158.0,6373,2019-03-29,Low,Senior (11-20),Gen X (36-45)
20,54,Male,Engineering,Developer,25,Bachelors,Bangalore,4,106033.0,7089,2022-10-22,High,Executive (21+),Boomers II (46-55)
21,33,Female,HR,Lead,9,Masters,Hyderabad,3,48881.0,7106,2014-12-29,Low,Mid (6-10),Millennials (25-35)
