Employee_ID,Age,Gender,Department,Job_Role,Experience_Years,Education_Level,Location,Performance_Rating,Salary,Bonus,Joining_Date
1,50,Male,Marketing,Lead,11,Masters,Delhi,3,59321,5214,2019-06-08
2,36,Female,Sales,Executive,25,Masters,Hyderabad,5,90953,12017,2012-09-27
3,29,Male,Sales,Manager,12,PhD,Hyderabad,4,59935,3394,2014-12-06
4,42,Female,Engineering,Developer,0,Masters,Delhi,5,61560,10780,2013-03-29
5,40,Female,Finance,Lead,6,PhD,Mumbai,4,66656,8991,2016-10-08
6,44,Female,Engineering,Analyst,15,Bachelors,Delhi,2,93614,13832,2012-10-31
7,32,Male,Finance,Developer,15,PhD,Delhi,3,80760,6472,2015-12-04
8,32,Male,Marketing,Lead,20,Masters,Bangalore,1,73345,9807,2012-01-11
9,45,Male,Engineering,Developer,15,PhD,Delhi,3,86181,11168,2019-02-28
10,57,Male,Engineering,Executive,15,Masters,Bangalore,4,86690,12391,2018-06-07
11,45,Female,HR,Analyst,13,PhD,Delhi,3,55795,9882,2019-03-09
12,24,Female,Engineering,Analyst,10,PhD,Hyderabad,1,78504,12928,2017-09-25
13,43,Male,HR,Manager,18,Bachelors,Hyderabad,2,65208,8609,2022-08-15
14,23,Male,Finance,Executive,10,PhD,Mumbai,2,74132,13641,2019-06-23
15,45,Male,Finance,Manager,1,Bachelors,Delhi,4,48780,5061,2017-05-23
16,51,Female,Finance,Manager,6,Bachelors,Chennai,3,64779,8024,2016-10-09
17,59,Male,HR,Executive,8,PhD,Delhi,4,44509,6561,2013-10-26
18,23,Male,Finance,Lead,8,PhD,Chennai,3,61017,7084,2014-01-28
19,42,Female,Sales,Manager,13,PhD,Delhi,5,61158,6373,2019-03-29
20,54,Male,Engineering,Developer,25,Bachelors,Bangalore,4,106033,7089,2022-10-22
21,33,Female,HR,Lead,9,Masters,Hyderabad,3,48881,7106,2014-12-29
22,43,Female,Finance,Executive,15,Masters,Chennai,5,82683,6522,2022-04-23
23,46,Female,Sales,Analyst,23,Bachelors,Chennai,4,81564,5769,2020-01-03
24,48,Female,Engineering,Lead,17,Bachelors,Delhi,2,97890,7569,2014-08-08
25,49,Female,Engineering,Manager,0,PhD,Hyderabad,5,64960,9956,2021-04-02
26,37,Male,Finance,Developer,23,PhD,Mumbai,4,100081,7081,2018-10-18
27,36,Male,Sales,Executive,1,Masters,Chennai,1,45582,8953,2022-12-19
28,24,Female,HR,Analyst,19,Masters,Hyderabad,2,69282,11347,2017-08-08
29,58,Female,Finance,Developer,27,Masters,Hyderabad,5,106027,11547,2017-09-28
30,28,Male,Engineering,Analyst,3,PhD,Chennai,3,63809,8868,2022-07-29
31,42,Male,Engineering,Executive,1,PhD,Bangalore,1,59172,3026,2021-02-13
32,30,Female,Engineering,Lead,3,Bachelors,Bangalore,3,64699,11431,2011-06-20
33,39,Male,Finance,Manager,22,PhD,Delhi,1,91266,8276,2014-07-17
34,25,Male,Marketing,Executive,5,Masters,Delhi,4,47919,2912,2019-06-23
